SL,project_name,migration_direction,prompt_mode,model_name,cosine_similarity,crystal_bleu
61,proofpoint_platform,gha_to_travis,zero-shot,gemma3_12b,0.291979,0.048774
62,proofpoint_platform,gha_to_travis,zero-shot,llama3_1_8b,0.464642,0.258199
63,proofpoint_platform,gha_to_travis,zero-shot,gpt-4o,0.401286,0.119452
64,proofpoint_platform,gha_to_travis,zero-shot,mistral_7b,0.456832,0.209056
65,hmcts_ccpay-payment-app,travis_to_gha,zero-shot,gemma3_12b,0.784548,0.480356
66,hmcts_ccpay-payment-app,travis_to_gha,zero-shot,llama3_1_8b,0.757367,0.33176
67,hmcts_ccpay-payment-app,travis_to_gha,zero-shot,gpt-4o,0.747326,0.551518
68,hmcts_ccpay-payment-app,travis_to_gha,zero-shot,mistral_7b,0.641064,0.317116
69,hmcts_ccpay-payment-app,gha_to_travis,zero-shot,gemma3_12b,0.482198,0.395235
70,hmcts_ccpay-payment-app,gha_to_travis,zero-shot,llama3_1_8b,0.495074,0.48198
71,hmcts_ccpay-payment-app,gha_to_travis,zero-shot,gpt-4o,0.679366,0.648679
72,hmcts_ccpay-payment-app,gha_to_travis,zero-shot,mistral_7b,0.346688,0.164378
73,sockeqwe_AdapterDelegates,travis_to_gha,zero-shot,gemma3_12b,0.516233,0.141328
74,sockeqwe_AdapterDelegates,travis_to_gha,zero-shot,llama3_1_8b,0.614615,0.230485
75,sockeqwe_AdapterDelegates,travis_to_gha,zero-shot,gpt-4o,0.574091,0.175665
76,sockeqwe_AdapterDelegates,travis_to_gha,zero-shot,mistral_7b,0.648087,0.196672
77,sockeqwe_AdapterDelegates,gha_to_travis,zero-shot,gemma3_12b,0.193202,0.115078
78,sockeqwe_AdapterDelegates,gha_to_travis,zero-shot,llama3_1_8b,0.316359,0.072259
79,sockeqwe_AdapterDelegates,gha_to_travis,zero-shot,gpt-4o,0.219971,0.086236
80,sockeqwe_AdapterDelegates,gha_to_travis,zero-shot,mistral_7b,0.203653,0.060553
81,MineLittlePony_BigPony,travis_to_gha,zero-shot,gemma3_12b,0.54728,0.13784
82,MineLittlePony_BigPony,travis_to_gha,zero-shot,llama3_1_8b,0.628934,0.130422
83,MineLittlePony_BigPony,travis_to_gha,zero-shot,gpt-4o,0.596723,0.123485
84,MineLittlePony_BigPony,travis_to_gha,zero-shot,mistral_7b,0.585955,0.172731
85,MineLittlePony_BigPony,gha_to_travis,zero-shot,gemma3_12b,0.430355,0.134535
86,MineLittlePony_BigPony,gha_to_travis,zero-shot,llama3_1_8b,0.19346,0.043644
87,MineLittlePony_BigPony,gha_to_travis,zero-shot,gpt-4o,0.35148,0.098384
88,MineLittlePony_BigPony,gha_to_travis,zero-shot,mistral_7b,0.268239,0.113826
