SL,project_name,migration_direction,prompt_mode,model_name,cosine_similarity,crystal_bleu
728,mate-academy_hibernate-configuration-hw,gha_to_travis,zero-shot,mistral_7b,0.311188,0.048783
729,messaginghub_pooled-jms,travis_to_gha,zero-shot,gemma3_12b,0.589478,0.342716
730,messaginghub_pooled-jms,travis_to_gha,zero-shot,llama3_1_8b,0.563855,0.269809
731,messaginghub_pooled-jms,travis_to_gha,zero-shot,gpt-4o,0.620338,0.24675
732,messaginghub_pooled-jms,travis_to_gha,zero-shot,mistral_7b,0.660587,0.358506
733,messaginghub_pooled-jms,gha_to_travis,zero-shot,gemma3_12b,0.268133,0.032001
734,messaginghub_pooled-jms,gha_to_travis,zero-shot,llama3_1_8b,0.289122,0.057496
735,messaginghub_pooled-jms,gha_to_travis,zero-shot,gpt-4o,0.366679,0.057496
736,messaginghub_pooled-jms,gha_to_travis,zero-shot,mistral_7b,0.154852,0.040124
737,Kaktushose_LS-ModManager,travis_to_gha,zero-shot,gemma3_12b,0.593822,0.58618
738,Kaktushose_LS-ModManager,travis_to_gha,zero-shot,llama3_1_8b,0.543624,0.47396
739,Kaktushose_LS-ModManager,travis_to_gha,zero-shot,gpt-4o,0.54935,0.517549
740,Kaktushose_LS-ModManager,travis_to_gha,zero-shot,mistral_7b,0.465198,0.382971
741,Kaktushose_LS-ModManager,gha_to_travis,zero-shot,gemma3_12b,0.48795,0.204124
742,Kaktushose_LS-ModManager,gha_to_travis,zero-shot,llama3_1_8b,0.301232,0.080561
743,Kaktushose_LS-ModManager,gha_to_travis,zero-shot,gpt-4o,0.516398,0.235702
744,Kaktushose_LS-ModManager,gha_to_travis,zero-shot,mistral_7b,0.233333,0.090045
745,selenide_selenide,travis_to_gha,zero-shot,gemma3_12b,0.693688,0.196389
746,selenide_selenide,travis_to_gha,zero-shot,llama3_1_8b,0.705947,0.286368
747,selenide_selenide,travis_to_gha,zero-shot,gpt-4o,0.655022,0.16501
748,selenide_selenide,travis_to_gha,zero-shot,mistral_7b,0.703487,0.172435
749,selenide_selenide,gha_to_travis,zero-shot,gemma3_12b,0.212086,0.10745
750,selenide_selenide,gha_to_travis,zero-shot,llama3_1_8b,0.637732,0.165901
751,selenide_selenide,gha_to_travis,zero-shot,gpt-4o,0.31026,0.119917
752,selenide_selenide,gha_to_travis,zero-shot,mistral_7b,0.312338,0.08453
753,h2database_h2database,travis_to_gha,zero-shot,gemma3_12b,0.577813,0.224239
754,h2database_h2database,travis_to_gha,zero-shot,llama3_1_8b,0.65348,0.260528
755,h2database_h2database,travis_to_gha,zero-shot,gpt-4o,0.611111,0.280687
756,h2database_h2database,travis_to_gha,zero-shot,mistral_7b,0.54238,0.254244
757,h2database_h2database,gha_to_travis,zero-shot,gemma3_12b,0.442807,0.197739
758,h2database_h2database,gha_to_travis,zero-shot,llama3_1_8b,0.381385,0.09353
759,h2database_h2database,gha_to_travis,zero-shot,gpt-4o,0.622799,0.092434
760,h2database_h2database,gha_to_travis,zero-shot,mistral_7b,0.45675,0.141119
761,YakushevVladimir_BibleQuote-for-Android,travis_to_gha,zero-shot,gemma3_12b,0.559295,0.197568
762,YakushevVladimir_BibleQuote-for-Android,travis_to_gha,zero-shot,llama3_1_8b,0.501558,0.114715
763,YakushevVladimir_BibleQuote-for-Android,travis_to_gha,zero-shot,gpt-4o,0.567508,0.206406
764,YakushevVladimir_BibleQuote-for-Android,travis_to_gha,zero-shot,mistral_7b,0.402657,0.149437
765,YakushevVladimir_BibleQuote-for-Android,gha_to_travis,zero-shot,gemma3_12b,0.279543,0.162177
766,YakushevVladimir_BibleQuote-for-Android,gha_to_travis,zero-shot,llama3_1_8b,0.296078,0.054788
767,YakushevVladimir_BibleQuote-for-Android,gha_to_travis,zero-shot,gpt-4o,0.524631,0.141574
768,YakushevVladimir_BibleQuote-for-Android,gha_to_travis,zero-shot,mistral_7b,0.437409,0.11764
769,reaktivity_nukleus-http.java,travis_to_gha,zero-shot,gemma3_12b,0.742148,0.435878
770,reaktivity_nukleus-http.java,travis_to_gha,zero-shot,llama3_1_8b,0.67883,0.36452
771,reaktivity_nukleus-http.java,travis_to_gha,zero-shot,gpt-4o,0.744596,0.587605
772,reaktivity_nukleus-http.java,travis_to_gha,zero-shot,mistral_7b,0.698405,0.393684
773,reaktivity_nukleus-http.java,gha_to_travis,zero-shot,gemma3_12b,0.29347,0.062589
774,reaktivity_nukleus-http.java,gha_to_travis,zero-shot,llama3_1_8b,0.24166,0.102869
775,reaktivity_nukleus-http.java,gha_to_travis,zero-shot,gpt-4o,0.541208,0.229243
776,reaktivity_nukleus-http.java,gha_to_travis,zero-shot,mistral_7b,0.399012,0.239046
777,line_decaton,travis_to_gha,zero-shot,gemma3_12b,0.518545,0.240046
778,line_decaton,travis_to_gha,zero-shot,llama3_1_8b,0.611071,0.220182
779,line_decaton,travis_to_gha,zero-shot,gpt-4o,0.564534,0.211497
780,line_decaton,travis_to_gha,zero-shot,mistral_7b,0.531787,0.222077
781,line_decaton,gha_to_travis,zero-shot,gemma3_12b,0.285831,0.078206
782,line_decaton,gha_to_travis,zero-shot,llama3_1_8b,0.222718,0.056267
783,line_decaton,gha_to_travis,zero-shot,gpt-4o,0.391675,0.157825
784,line_decaton,gha_to_travis,zero-shot,mistral_7b,0.266476,0.051434
785,komoot_photon,travis_to_gha,zero-shot,gemma3_12b,0.490143,0.257752
786,komoot_photon,travis_to_gha,zero-shot,llama3_1_8b,0.549969,0.332455
787,komoot_photon,travis_to_gha,zero-shot,gpt-4o,0.577042,0.290579
788,komoot_photon,travis_to_gha,zero-shot,mistral_7b,0.64081,0.240034
789,komoot_photon,gha_to_travis,zero-shot,gemma3_12b,0.179969,0.033674
790,komoot_photon,gha_to_travis,zero-shot,llama3_1_8b,0.124035,0.069843
791,komoot_photon,gha_to_travis,zero-shot,gpt-4o,0.337963,0.093934
792,komoot_photon,gha_to_travis,zero-shot,mistral_7b,0.084921,0.027973
793,xerial_sqlite-jdbc,travis_to_gha,zero-shot,gemma3_12b,0.447968,0.194866
794,xerial_sqlite-jdbc,travis_to_gha,zero-shot,llama3_1_8b,0.533791,0.091566
795,xerial_sqlite-jdbc,travis_to_gha,zero-shot,gpt-4o,0.491744,0.122817
796,xerial_sqlite-jdbc,travis_to_gha,zero-shot,mistral_7b,0.655478,0.254514
797,xerial_sqlite-jdbc,gha_to_travis,zero-shot,gemma3_12b,0,0.002624
798,xerial_sqlite-jdbc,gha_to_travis,zero-shot,llama3_1_8b,0.067219,0.022133
799,xerial_sqlite-jdbc,gha_to_travis,zero-shot,gpt-4o,0.101298,0.00472
800,xerial_sqlite-jdbc,gha_to_travis,zero-shot,mistral_7b,0.029182,0.043167
801,io7m_jsx,travis_to_gha,zero-shot,gemma3_12b,0.63067,0.380715
802,io7m_jsx,travis_to_gha,zero-shot,llama3_1_8b,0.653197,0.388075
803,io7m_jsx,travis_to_gha,zero-shot,gpt-4o,0.575055,0.320713
804,io7m_jsx,travis_to_gha,zero-shot,mistral_7b,0.402147,0.185463
805,io7m_jsx,gha_to_travis,zero-shot,gemma3_12b,0.384371,0.237612
806,io7m_jsx,gha_to_travis,zero-shot,llama3_1_8b,0.352738,0.169562
807,io7m_jsx,gha_to_travis,zero-shot,gpt-4o,0.470757,0.188926
808,io7m_jsx,gha_to_travis,zero-shot,mistral_7b,0.358748,0.16925
809,hugegraph_hugegraph-client,travis_to_gha,zero-shot,gemma3_12b,0.757949,0.458737
810,hugegraph_hugegraph-client,travis_to_gha,zero-shot,llama3_1_8b,0.772239,0.516859
811,hugegraph_hugegraph-client,travis_to_gha,zero-shot,gpt-4o,0.741335,0.5282
812,hugegraph_hugegraph-client,travis_to_gha,zero-shot,mistral_7b,0.760246,0.469638
813,hugegraph_hugegraph-client,gha_to_travis,zero-shot,gemma3_12b,0.684514,0.249537
814,hugegraph_hugegraph-client,gha_to_travis,zero-shot,llama3_1_8b,0.806236,0.564546
815,hugegraph_hugegraph-client,gha_to_travis,zero-shot,gpt-4o,0.693077,0.475559
816,hugegraph_hugegraph-client,gha_to_travis,zero-shot,mistral_7b,0.619234,0.35991
817,JetBrains_jediterm,travis_to_gha,zero-shot,gemma3_12b,0.641801,0.419233
818,JetBrains_jediterm,travis_to_gha,zero-shot,llama3_1_8b,0.578997,0.333484
819,JetBrains_jediterm,travis_to_gha,zero-shot,gpt-4o,0.594061,0.425195
820,JetBrains_jediterm,travis_to_gha,zero-shot,mistral_7b,0.692401,0.34963
821,JetBrains_jediterm,gha_to_travis,zero-shot,gemma3_12b,0.556038,0.213201
822,JetBrains_jediterm,gha_to_travis,zero-shot,llama3_1_8b,0.280056,0.061476
823,JetBrains_jediterm,gha_to_travis,zero-shot,gpt-4o,0.227429,0.041595
824,JetBrains_jediterm,gha_to_travis,zero-shot,mistral_7b,0.356348,0.051644
825,vert-x3_vertx-bridge-common,travis_to_gha,zero-shot,gemma3_12b,0.689689,0.275346
826,vert-x3_vertx-bridge-common,travis_to_gha,zero-shot,llama3_1_8b,0.580842,0.262985
827,vert-x3_vertx-bridge-common,travis_to_gha,zero-shot,gpt-4o,0.61209,0.328028
828,vert-x3_vertx-bridge-common,travis_to_gha,zero-shot,mistral_7b,0.657874,0.294471
829,vert-x3_vertx-bridge-common,gha_to_travis,zero-shot,gemma3_12b,0.411306,0.153093
830,vert-x3_vertx-bridge-common,gha_to_travis,zero-shot,llama3_1_8b,0.433924,0.177525
831,vert-x3_vertx-bridge-common,gha_to_travis,zero-shot,gpt-4o,0.490221,0.21692
832,vert-x3_vertx-bridge-common,gha_to_travis,zero-shot,mistral_7b,0.372754,0.148626
833,OpenLiberty_guide-arquillian-managed,travis_to_gha,zero-shot,gemma3_12b,0.600181,0.306349
834,OpenLiberty_guide-arquillian-managed,travis_to_gha,zero-shot,llama3_1_8b,0.632068,0.27578
835,OpenLiberty_guide-arquillian-managed,travis_to_gha,zero-shot,gpt-4o,0.560193,0.234509
836,OpenLiberty_guide-arquillian-managed,travis_to_gha,zero-shot,mistral_7b,0.42339,0.188816
837,OpenLiberty_guide-arquillian-managed,gha_to_travis,zero-shot,gemma3_12b,0.296206,0.121566
838,OpenLiberty_guide-arquillian-managed,gha_to_travis,zero-shot,llama3_1_8b,0.34075,0.196729
839,OpenLiberty_guide-arquillian-managed,gha_to_travis,zero-shot,gpt-4o,0.25863,0.18122
840,OpenLiberty_guide-arquillian-managed,gha_to_travis,zero-shot,mistral_7b,0.236853,0.21146
841,Coolerfall_Android-HttpDownloadManager,travis_to_gha,zero-shot,gemma3_12b,0.630769,0.332864
842,Coolerfall_Android-HttpDownloadManager,travis_to_gha,zero-shot,llama3_1_8b,0.614817,0.35758
843,Coolerfall_Android-HttpDownloadManager,travis_to_gha,zero-shot,gpt-4o,0.732318,0.313421
844,Coolerfall_Android-HttpDownloadManager,travis_to_gha,zero-shot,mistral_7b,0.686683,0.367622
845,Coolerfall_Android-HttpDownloadManager,gha_to_travis,zero-shot,gemma3_12b,0.303687,0.208396
846,Coolerfall_Android-HttpDownloadManager,gha_to_travis,zero-shot,llama3_1_8b,0.396928,0.189769
847,Coolerfall_Android-HttpDownloadManager,gha_to_travis,zero-shot,gpt-4o,0.485363,0.217167
848,Coolerfall_Android-HttpDownloadManager,gha_to_travis,zero-shot,mistral_7b,0.186023,0.08507
849,anastaciocintra_escpos-coffee,travis_to_gha,zero-shot,gemma3_12b,0.682775,0.32136
850,anastaciocintra_escpos-coffee,travis_to_gha,zero-shot,llama3_1_8b,0.583881,0.279372
851,anastaciocintra_escpos-coffee,travis_to_gha,zero-shot,gpt-4o,0.685566,0.368742
852,anastaciocintra_escpos-coffee,travis_to_gha,zero-shot,mistral_7b,0.578322,0.195815
853,anastaciocintra_escpos-coffee,gha_to_travis,zero-shot,gemma3_12b,0.374994,0.107833
854,anastaciocintra_escpos-coffee,gha_to_travis,zero-shot,llama3_1_8b,0.380521,0.131415
855,anastaciocintra_escpos-coffee,gha_to_travis,zero-shot,gpt-4o,0.476095,0.336221
856,anastaciocintra_escpos-coffee,gha_to_travis,zero-shot,mistral_7b,0.149802,0.000013
857,playframework_play1,travis_to_gha,zero-shot,gemma3_12b,0.589107,0.208109
858,playframework_play1,travis_to_gha,zero-shot,llama3_1_8b,0.626358,0.176069
859,playframework_play1,travis_to_gha,zero-shot,gpt-4o,0.709145,0.2531
860,playframework_play1,travis_to_gha,zero-shot,mistral_7b,0.756311,0.370739
861,playframework_play1,gha_to_travis,zero-shot,gemma3_12b,0.425685,0.082578
862,playframework_play1,gha_to_travis,zero-shot,llama3_1_8b,0.263181,0.076948
863,playframework_play1,gha_to_travis,zero-shot,gpt-4o,0.510061,0.112588
864,playframework_play1,gha_to_travis,zero-shot,mistral_7b,0.20954,0.092529
865,alexvasilkov_GestureViews,travis_to_gha,zero-shot,gemma3_12b,0.612625,0.211258
866,alexvasilkov_GestureViews,travis_to_gha,zero-shot,llama3_1_8b,0.648906,0.289518
867,alexvasilkov_GestureViews,travis_to_gha,zero-shot,gpt-4o,0.626686,0.156452
868,alexvasilkov_GestureViews,travis_to_gha,zero-shot,mistral_7b,0.707968,0.242961
869,alexvasilkov_GestureViews,gha_to_travis,zero-shot,gemma3_12b,0.345661,0.162787
870,alexvasilkov_GestureViews,gha_to_travis,zero-shot,llama3_1_8b,0.429383,0.08476
871,alexvasilkov_GestureViews,gha_to_travis,zero-shot,gpt-4o,0.443537,0.042913
872,alexvasilkov_GestureViews,gha_to_travis,zero-shot,mistral_7b,0.223389,0.043498
873,gayanvoice_android-vpn-client-ics-openvpn,travis_to_gha,zero-shot,gemma3_12b,0.640846,0.265085
874,gayanvoice_android-vpn-client-ics-openvpn,travis_to_gha,zero-shot,llama3_1_8b,0.632203,0.320997
875,gayanvoice_android-vpn-client-ics-openvpn,travis_to_gha,zero-shot,gpt-4o,0.716645,0.329203
876,gayanvoice_android-vpn-client-ics-openvpn,travis_to_gha,zero-shot,mistral_7b,0.664971,0.233304
877,gayanvoice_android-vpn-client-ics-openvpn,gha_to_travis,zero-shot,gemma3_12b,0.326056,0.098977
878,gayanvoice_android-vpn-client-ics-openvpn,gha_to_travis,zero-shot,llama3_1_8b,0.398862,0.09011
879,gayanvoice_android-vpn-client-ics-openvpn,gha_to_travis,zero-shot,gpt-4o,0.734968,0.213171
880,gayanvoice_android-vpn-client-ics-openvpn,gha_to_travis,zero-shot,mistral_7b,0.308182,0.127294
881,bancolombia_scaffold-clean-architecture,travis_to_gha,zero-shot,gemma3_12b,0.834474,0.690305
882,bancolombia_scaffold-clean-architecture,travis_to_gha,zero-shot,llama3_1_8b,0.723586,0.565082
883,bancolombia_scaffold-clean-architecture,travis_to_gha,zero-shot,gpt-4o,0.766019,0.629313
884,bancolombia_scaffold-clean-architecture,travis_to_gha,zero-shot,mistral_7b,0.58749,0.3596
885,bancolombia_scaffold-clean-architecture,gha_to_travis,zero-shot,gemma3_12b,0.751068,0.61128
886,bancolombia_scaffold-clean-architecture,gha_to_travis,zero-shot,llama3_1_8b,0.766622,0.686068
887,bancolombia_scaffold-clean-architecture,gha_to_travis,zero-shot,gpt-4o,0.763195,0.621962
888,bancolombia_scaffold-clean-architecture,gha_to_travis,zero-shot,mistral_7b,0.627606,0.369437
889,phisix-org_phisix,travis_to_gha,zero-shot,gemma3_12b,0.610058,0.172071
890,phisix-org_phisix,travis_to_gha,zero-shot,llama3_1_8b,0.491882,0.155264
891,phisix-org_phisix,travis_to_gha,zero-shot,gpt-4o,0.546047,0.270012
892,phisix-org_phisix,travis_to_gha,zero-shot,mistral_7b,0.453816,0.138995
893,phisix-org_phisix,gha_to_travis,zero-shot,gemma3_12b,0.263955,0.162265
894,phisix-org_phisix,gha_to_travis,zero-shot,llama3_1_8b,0.485151,0.099852
895,phisix-org_phisix,gha_to_travis,zero-shot,gpt-4o,0.428746,0.1128
896,phisix-org_phisix,gha_to_travis,zero-shot,mistral_7b,0.226199,0.155369
897,amzn_ion-java,travis_to_gha,zero-shot,gemma3_12b,0.718074,0.481273
898,amzn_ion-java,travis_to_gha,zero-shot,llama3_1_8b,0.619421,0.3814
899,amzn_ion-java,travis_to_gha,zero-shot,gpt-4o,0.670906,0.465206
900,amzn_ion-java,travis_to_gha,zero-shot,mistral_7b,0.698601,0.43584
901,amzn_ion-java,gha_to_travis,zero-shot,gemma3_12b,0.64896,0.36981
902,amzn_ion-java,gha_to_travis,zero-shot,llama3_1_8b,0.297961,0.245278
903,amzn_ion-java,gha_to_travis,zero-shot,gpt-4o,0.765666,0.510623
904,amzn_ion-java,gha_to_travis,zero-shot,mistral_7b,0.354001,0.131774
905,criteo_cassandra_exporter,travis_to_gha,zero-shot,gemma3_12b,0.537014,0.186048
906,criteo_cassandra_exporter,travis_to_gha,zero-shot,llama3_1_8b,0.743812,0.243505
907,criteo_cassandra_exporter,travis_to_gha,zero-shot,gpt-4o,0.708703,0.265251
908,criteo_cassandra_exporter,travis_to_gha,zero-shot,mistral_7b,0.637631,0.196809
909,criteo_cassandra_exporter,gha_to_travis,zero-shot,gemma3_12b,0.179284,0.052389
910,criteo_cassandra_exporter,gha_to_travis,zero-shot,llama3_1_8b,0.197028,0.078155
911,criteo_cassandra_exporter,gha_to_travis,zero-shot,gpt-4o,0.188982,0.082572
912,criteo_cassandra_exporter,gha_to_travis,zero-shot,mistral_7b,0.159719,0.098644
913,PojavLauncherTeam_PojavLauncher,travis_to_gha,zero-shot,gemma3_12b,0.659827,0.142134
914,PojavLauncherTeam_PojavLauncher,travis_to_gha,zero-shot,llama3_1_8b,0.652714,0.158339
915,PojavLauncherTeam_PojavLauncher,travis_to_gha,zero-shot,gpt-4o,0.674321,0.196551
916,PojavLauncherTeam_PojavLauncher,travis_to_gha,zero-shot,mistral_7b,0.654257,0.241969
917,PojavLauncherTeam_PojavLauncher,gha_to_travis,zero-shot,gemma3_12b,0.196563,0.07934
918,PojavLauncherTeam_PojavLauncher,gha_to_travis,zero-shot,llama3_1_8b,0.189947,0.067408
919,PojavLauncherTeam_PojavLauncher,gha_to_travis,zero-shot,gpt-4o,0.226637,0.027482
920,PojavLauncherTeam_PojavLauncher,gha_to_travis,zero-shot,mistral_7b,0.176639,0.070131
921,constellation-app_constellation,travis_to_gha,zero-shot,gemma3_12b,0.602614,0.275559
922,constellation-app_constellation,travis_to_gha,zero-shot,llama3_1_8b,0.472492,0.219319
923,constellation-app_constellation,travis_to_gha,zero-shot,gpt-4o,0.714395,0.259491
924,constellation-app_constellation,travis_to_gha,zero-shot,mistral_7b,0.598598,0.203285
925,constellation-app_constellation,gha_to_travis,zero-shot,gemma3_12b,0.427958,0.172134
926,constellation-app_constellation,gha_to_travis,zero-shot,llama3_1_8b,0.39322,0.265182
927,constellation-app_constellation,gha_to_travis,zero-shot,gpt-4o,0.388458,0.222375
928,constellation-app_constellation,gha_to_travis,zero-shot,mistral_7b,0.201802,0.082423
929,ballerina-platform_module-ballerina-docker,travis_to_gha,zero-shot,gemma3_12b,0.511777,0.186617
930,ballerina-platform_module-ballerina-docker,travis_to_gha,zero-shot,llama3_1_8b,0.487247,0.15116
931,ballerina-platform_module-ballerina-docker,travis_to_gha,zero-shot,gpt-4o,0.674815,0.249136
932,ballerina-platform_module-ballerina-docker,travis_to_gha,zero-shot,mistral_7b,0.72122,0.299981
933,ballerina-platform_module-ballerina-docker,gha_to_travis,zero-shot,gemma3_12b,0.116383,0.001571
934,ballerina-platform_module-ballerina-docker,gha_to_travis,zero-shot,llama3_1_8b,0.245904,0.003719
935,ballerina-platform_module-ballerina-docker,gha_to_travis,zero-shot,gpt-4o,0.202031,0.006089
936,ballerina-platform_module-ballerina-docker,gha_to_travis,zero-shot,mistral_7b,0.161015,0.084274
937,jenkinsci_jira-plugin,travis_to_gha,zero-shot,gemma3_12b,0.570379,0.233459
938,jenkinsci_jira-plugin,travis_to_gha,zero-shot,llama3_1_8b,0.516299,0.251457
939,jenkinsci_jira-plugin,travis_to_gha,zero-shot,gpt-4o,0.559678,0.279236
940,jenkinsci_jira-plugin,travis_to_gha,zero-shot,mistral_7b,0.476282,0.147671
941,jenkinsci_jira-plugin,gha_to_travis,zero-shot,gemma3_12b,0.135847,0.030354
942,jenkinsci_jira-plugin,gha_to_travis,zero-shot,llama3_1_8b,0.080845,0.002581
943,jenkinsci_jira-plugin,gha_to_travis,zero-shot,gpt-4o,0.326608,0.037705
944,jenkinsci_jira-plugin,gha_to_travis,zero-shot,mistral_7b,0.082385,0.015131
945,jakubplichta_git-changelog-maven-plugin,travis_to_gha,zero-shot,gemma3_12b,0.783489,0.465116
946,jakubplichta_git-changelog-maven-plugin,travis_to_gha,zero-shot,llama3_1_8b,0.709218,0.368275
947,jakubplichta_git-changelog-maven-plugin,travis_to_gha,zero-shot,gpt-4o,0.614851,0.283397
948,jakubplichta_git-changelog-maven-plugin,travis_to_gha,zero-shot,mistral_7b,0.693182,0.35746
949,jakubplichta_git-changelog-maven-plugin,gha_to_travis,zero-shot,gemma3_12b,0.477665,0.141392
950,jakubplichta_git-changelog-maven-plugin,gha_to_travis,zero-shot,llama3_1_8b,0.328395,0.106135
951,jakubplichta_git-changelog-maven-plugin,gha_to_travis,zero-shot,gpt-4o,0.435607,0.139535
952,jakubplichta_git-changelog-maven-plugin,gha_to_travis,zero-shot,mistral_7b,0.374241,0.054393
953,FluentLenium_FluentLenium,travis_to_gha,zero-shot,gemma3_12b,0.708759,0.443868
954,FluentLenium_FluentLenium,travis_to_gha,zero-shot,llama3_1_8b,0.694379,0.366605
955,FluentLenium_FluentLenium,travis_to_gha,zero-shot,gpt-4o,0.814787,0.508818
956,FluentLenium_FluentLenium,travis_to_gha,zero-shot,mistral_7b,0.648273,0.295027
957,FluentLenium_FluentLenium,gha_to_travis,zero-shot,gemma3_12b,0.718529,0.355479
958,FluentLenium_FluentLenium,gha_to_travis,zero-shot,llama3_1_8b,0.486792,0.359499
959,FluentLenium_FluentLenium,gha_to_travis,zero-shot,gpt-4o,0.778313,0.446275
960,FluentLenium_FluentLenium,gha_to_travis,zero-shot,mistral_7b,0.396252,0.075412
961,OSGeo_PROJ-JNI,travis_to_gha,zero-shot,gemma3_12b,0.812143,0.563294
962,OSGeo_PROJ-JNI,travis_to_gha,zero-shot,llama3_1_8b,0.797821,0.536861
963,OSGeo_PROJ-JNI,travis_to_gha,zero-shot,gpt-4o,0.794435,0.521318
964,OSGeo_PROJ-JNI,travis_to_gha,zero-shot,mistral_7b,0.749813,0.555929
965,OSGeo_PROJ-JNI,gha_to_travis,zero-shot,gemma3_12b,0.860179,0.564139
966,OSGeo_PROJ-JNI,gha_to_travis,zero-shot,llama3_1_8b,0.774597,0.455258
967,OSGeo_PROJ-JNI,gha_to_travis,zero-shot,gpt-4o,0.84596,0.754202
968,OSGeo_PROJ-JNI,gha_to_travis,zero-shot,mistral_7b,0.44849,0.376796
969,encircled_Joiner,travis_to_gha,zero-shot,gemma3_12b,0.670358,0.356572
970,encircled_Joiner,travis_to_gha,zero-shot,llama3_1_8b,0.584472,0.244865
971,encircled_Joiner,travis_to_gha,zero-shot,gpt-4o,0.727177,0.355647
972,encircled_Joiner,travis_to_gha,zero-shot,mistral_7b,0.656359,0.318101
973,encircled_Joiner,gha_to_travis,zero-shot,gemma3_12b,0.335547,0.165909
974,encircled_Joiner,gha_to_travis,zero-shot,llama3_1_8b,0.331361,0.21028
975,encircled_Joiner,gha_to_travis,zero-shot,gpt-4o,0.52722,0.228125
976,encircled_Joiner,gha_to_travis,zero-shot,mistral_7b,0.287019,0.109095
977,dlsc-software-consulting-gmbh_GemsFX,travis_to_gha,zero-shot,gemma3_12b,0.556568,0.209604
978,dlsc-software-consulting-gmbh_GemsFX,travis_to_gha,zero-shot,llama3_1_8b,0.642852,0.224868
979,dlsc-software-consulting-gmbh_GemsFX,travis_to_gha,zero-shot,gpt-4o,0.606607,0.294289
980,dlsc-software-consulting-gmbh_GemsFX,travis_to_gha,zero-shot,mistral_7b,0.63474,0.257169
981,dlsc-software-consulting-gmbh_GemsFX,gha_to_travis,zero-shot,gemma3_12b,0.174974,0.046019
982,dlsc-software-consulting-gmbh_GemsFX,gha_to_travis,zero-shot,llama3_1_8b,0.157026,0.034281
983,dlsc-software-consulting-gmbh_GemsFX,gha_to_travis,zero-shot,gpt-4o,0.124091,0.062752
984,dlsc-software-consulting-gmbh_GemsFX,gha_to_travis,zero-shot,mistral_7b,0.13877,0.034885
985,PepperLola_playerinfo,travis_to_gha,zero-shot,gemma3_12b,0.606476,0.197364
986,PepperLola_playerinfo,travis_to_gha,zero-shot,llama3_1_8b,0.651428,0.231238
987,PepperLola_playerinfo,travis_to_gha,zero-shot,gpt-4o,0.663689,0.237597
988,PepperLola_playerinfo,travis_to_gha,zero-shot,mistral_7b,0.729235,0.188627
989,PepperLola_playerinfo,gha_to_travis,zero-shot,gemma3_12b,0.213416,0.078884
990,PepperLola_playerinfo,gha_to_travis,zero-shot,llama3_1_8b,0.264777,0.11616
991,PepperLola_playerinfo,gha_to_travis,zero-shot,gpt-4o,0.134693,0.077152
992,PepperLola_playerinfo,gha_to_travis,zero-shot,mistral_7b,0.227128,0.145424
993,tomtom-international_james,travis_to_gha,zero-shot,gemma3_12b,0.643412,0.273441
994,tomtom-international_james,travis_to_gha,zero-shot,llama3_1_8b,0.583028,0.184923
995,tomtom-international_james,travis_to_gha,zero-shot,gpt-4o,0.651913,0.278301
996,tomtom-international_james,travis_to_gha,zero-shot,mistral_7b,0.540966,0.269819
997,tomtom-international_james,gha_to_travis,zero-shot,gemma3_12b,0.349531,0.115385
998,tomtom-international_james,gha_to_travis,zero-shot,llama3_1_8b,0.288863,0.099258
999,tomtom-international_james,gha_to_travis,zero-shot,gpt-4o,0.380521,0.093505
1000,tomtom-international_james,gha_to_travis,zero-shot,mistral_7b,0.392232,0.130558
1001,knowm_Yank,travis_to_gha,zero-shot,gemma3_12b,0.566267,0.237413
1002,knowm_Yank,travis_to_gha,zero-shot,llama3_1_8b,0.608781,0.279092
1003,knowm_Yank,travis_to_gha,zero-shot,gpt-4o,0.645881,0.300047
1004,knowm_Yank,travis_to_gha,zero-shot,mistral_7b,0.357834,0.155102
1005,knowm_Yank,gha_to_travis,zero-shot,gemma3_12b,0.406579,0.107583
1006,knowm_Yank,gha_to_travis,zero-shot,llama3_1_8b,0.377964,0.125149
1007,knowm_Yank,gha_to_travis,zero-shot,gpt-4o,0.431959,0.149712
1008,knowm_Yank,gha_to_travis,zero-shot,mistral_7b,0.342857,0.062109
1009,apache_parquet-mr,travis_to_gha,zero-shot,gemma3_12b,0.583907,0.552295
1010,apache_parquet-mr,travis_to_gha,zero-shot,llama3_1_8b,0.478176,0.35263
1011,apache_parquet-mr,travis_to_gha,zero-shot,gpt-4o,0.629131,0.577472
1012,apache_parquet-mr,travis_to_gha,zero-shot,mistral_7b,0.590598,0.370732
1013,apache_parquet-mr,gha_to_travis,zero-shot,gemma3_12b,0.566122,0.554225
1014,apache_parquet-mr,gha_to_travis,zero-shot,llama3_1_8b,0.502735,0.46953
1015,apache_parquet-mr,gha_to_travis,zero-shot,gpt-4o,0.512765,0.545945
1016,apache_parquet-mr,gha_to_travis,zero-shot,mistral_7b,0.449085,0.399232
1017,tdebatty_java-string-similarity,travis_to_gha,zero-shot,gemma3_12b,0.627256,0.399463
1018,tdebatty_java-string-similarity,travis_to_gha,zero-shot,llama3_1_8b,0.608488,0.320957
1019,tdebatty_java-string-similarity,travis_to_gha,zero-shot,gpt-4o,0.622741,0.377091
1020,tdebatty_java-string-similarity,travis_to_gha,zero-shot,mistral_7b,0.544107,0.271029
1021,tdebatty_java-string-similarity,gha_to_travis,zero-shot,gemma3_12b,0.584237,0.267182
1022,tdebatty_java-string-similarity,gha_to_travis,zero-shot,llama3_1_8b,0.368856,0.082199
