lines,jobs,steps,matrix,services,container,workflow_call,reusable_local_action,permissions,secrets_refs,env_refs,github_token_refs,concurrency,needs,if_conditions,caches,deployments,cron_schedule,workflow_dispatch,top_level_env,project,fold,cosine,bleu
39,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,sockeqwe_AdapterDelegates,Set_90_10_V_05,0.68,0.53
64,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,jwtk_jjwt,Set_90_10_V_10,0.69,0.55
33,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sofastack_sofa-bolt,Set_90_10_V_03,0.7,0.92
30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ralscha_xodus-queue,Set_90_10_V_07,0.7,0.78
25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,minio_minio-java,Set_90_10_V_09,0.71,0.37
35,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,apache_dubbo-spi-extensions,Set_90_10_V_10,0.72,0.59
89,6,4,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,Hakky54_mutual-tls-ssl,Set_90_10_V_01,0.74,0.49
32,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,future-architect_uroborosql,Set_90_10_V_02,0.75,0.77
86,4,2,0,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,1,alexvasilkov_GestureViews,Set_90_10_V_03,0.75,0.71
16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jboss_tyr,Set_90_10_V_10,0.75,0.65
23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,adobe_experience-platform-streaming-connect,Set_90_10_V_06,0.76,0.49
36,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,inferno-framework_fhir-validator-wrapper,Set_90_10_V_01,0.77,0.84
37,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tanersener_smart-exception,Set_90_10_V_01,0.77,0.75
35,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,jenkinsci_jira-plugin,Set_90_10_V_04,0.77,0.74
41,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,OpenLiberty_guide-arquillian-managed,Set_90_10_V_06,0.77,0.53
45,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,spring-cloud_spring-cloud-zookeeper,Set_90_10_V_07,0.77,0.44
42,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,linkedin_avro-util,Set_90_10_V_08,0.77,0.29
48,3,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,typetools_guava,Set_90_10_V_08,0.77,0.96
15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,orien_bean-matchers,Set_90_10_V_09,0.77,0.72
83,4,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,Smarteon_loxone-java,Set_90_10_V_02,0.78,0.63
52,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,devaneios-ifsp_turma-de-elite-backend,Set_90_10_V_02,0.78,0.78
16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,playframework_play1,Set_90_10_V_03,0.78,0.76
33,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,kaklakariada_portmapper,Set_90_10_V_05,0.78,0.7
68,2,2,1,0,0,0,0,0,3,0,0,0,0,2,2,1,0,0,0,xenit-eu_alfresco-docker-gradle-plugin,Set_90_10_V_07,0.78,0.8
29,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,apache_maven-enforcer,Set_90_10_V_10,0.78,0.59
70,2,2,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,radixdlt_radixdlt,Set_90_10_V_03,0.79,0.73
44,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,kordamp_ikonli,Set_90_10_V_06,0.79,0.66
