direction,model,prompt_mode,n_pairs,model_cosine_mean,cimig_cosine_mean,cosine_improvement_pct,cosine_W,cosine_p,cosine_significant,cosine_r,cosine_effect_size,model_bleu_mean,cimig_bleu_mean,bleu_improvement_pct,bleu_W,bleu_p,bleu_significant,bleu_r,bleu_effect_size,bonferroni_alpha,rq,cosine_bonferroni_significant,bleu_bonferroni_significant
travis_to_gha,gemma3_12b,zero-shot,153,0.6590196078431373,0.48954248366013076,34.619492656875835,11176.0,2.9858318719243635e-23,True,0.7631578947368421,large,0.44496732026143787,0.19300653594771242,130.54520826278363,11335.5,1.543896322682305e-24,True,0.8552631578947368,large,0.0015625,RQ3,True,True
travis_to_gha,gpt-4o,zero-shot,153,0.7449019607843137,0.48954248366013076,52.162883845126814,11604.5,8.548197584307336e-27,True,0.9342105263157895,large,0.5373202614379086,0.19300653594771242,178.39485269217747,11443.0,1.516547840538853e-26,True,0.9470198675496688,large,0.0015625,RQ3,True,True
travis_to_gha,llama3_1_8b,zero-shot,153,0.585359477124183,0.48954248366013076,19.572763684913213,9378.5,1.5565826316285356e-12,True,0.5733333333333334,large,0.2926797385620915,0.19300653594771242,51.642397561801566,8549.0,3.0474766998868e-08,True,0.3333333333333333,medium,0.0015625,RQ3,True,True
travis_to_gha,mistral_7b,zero-shot,153,0.6355555555555555,0.48954248366013076,29.82643524699598,11064.0,2.165151155010256e-21,True,0.7254901960784313,large,0.3264052287581699,0.19300653594771242,69.11615306467998,9769.0,1.726813292906531e-13,True,0.42105263157894735,medium,0.0015625,RQ3,True,True
travis_to_gha,gemma3_12b,few-shot,153,0.7445098039215686,0.48954248366013076,52.08277703604806,11578.0,1.4428843886398828e-26,True,0.9342105263157895,large,0.5158823529411766,0.19300653594771242,167.28750423298345,11685.5,2.3851372730451237e-26,True,0.9607843137254902,large,0.0015625,RQ3,True,True
travis_to_gha,gpt-4o,few-shot,153,0.7895424836601307,0.48954248366013076,61.28170894526033,11627.0,5.476114656957071e-27,True,0.9868421052631579,large,0.5869281045751634,0.19300653594771242,204.09752793769047,11618.0,6.559297280109986e-27,True,0.9736842105263158,large,0.0015625,RQ3,True,True
travis_to_gha,llama3_1_8b,few-shot,153,0.6018954248366013,0.48954248366013076,22.95060080106808,9403.5,1.1146238098052038e-12,True,0.4666666666666667,medium,0.41660130718954247,0.19300653594771242,115.84828987470368,10981.0,9.403478577948382e-24,True,0.8133333333333334,large,0.0015625,RQ3,True,True
travis_to_gha,mistral_7b,few-shot,153,0.7090196078431372,0.48954248366013076,44.83311081441921,11569.0,2.2256871587273697e-25,True,0.8823529411764706,large,0.4515032679738562,0.19300653594771242,133.93159498814765,11496.0,8.87739156145685e-25,True,0.8169934640522876,large,0.0015625,RQ3,True,True
gha_to_travis,gemma3_12b,zero-shot,153,0.3647712418300654,0.3404575163398693,7.141485889806098,6391.0,0.08582568465665452,False,0.05333333333333334,negligible,0.25673202614379087,0.13790849673202615,86.1611374407583,9237.0,4.00137737724658e-11,True,0.4304635761589404,medium,0.0015625,RQ3,False,True
gha_to_travis,gpt-4o,zero-shot,153,0.5394771241830065,0.3404575163398693,58.45651756575157,10669.5,2.5573202193181103e-20,True,0.695364238410596,large,0.3918300653594771,0.13790849673202615,184.12322274881515,11246.0,8.242354986105944e-24,True,0.8026315789473685,large,0.0015625,RQ3,True,True
gha_to_travis,llama3_1_8b,zero-shot,153,0.2675163398692811,0.3404575163398693,-21.424457669418313,3130.0,0.9999993670490281,False,-0.3509933774834437,medium,0.15633986928104576,0.13790849673202615,13.364928909952607,5447.0,0.5502738714718359,False,-0.1891891891891892,small,0.0015625,RQ3,False,False
gha_to_travis,mistral_7b,zero-shot,153,0.30686274509803924,0.3404575163398693,-9.86753695526973,4086.0,0.996850960085168,False,-0.1891891891891892,small,0.16483660130718952,0.13790849673202615,19.526066350710877,6211.5,0.04917614119063064,True,0.0273972602739726,negligible,0.0015625,RQ3,False,False
gha_to_travis,gemma3_12b,few-shot,153,0.48581699346405227,0.3404575163398693,42.69533499712035,9412.0,2.1137796720661862e-13,True,0.47651006711409394,medium,0.3611764705882353,0.13790849673202615,161.8957345971564,10855.0,9.913819199784183e-23,True,0.8133333333333334,large,0.0015625,RQ3,True,True
gha_to_travis,gpt-4o,few-shot,153,0.5997385620915032,0.3404575163398693,76.15665194855056,11367.5,9.633637416775901e-24,True,0.803921568627451,large,0.4628104575163398,0.13790849673202615,235.59241706161131,11646.0,5.117643733132274e-26,True,0.8954248366013072,large,0.0015625,RQ3,True,True
gha_to_travis,llama3_1_8b,few-shot,153,0.2558169934640523,0.3404575163398693,-24.860817815319646,2451.5,0.9999999937624527,False,-0.4931506849315068,medium,0.1884967320261438,0.13790849673202615,36.682464454976305,7113.5,0.0006008616743581447,True,0.2108843537414966,small,0.0015625,RQ3,False,True
gha_to_travis,mistral_7b,few-shot,153,0.42241830065359476,0.3404575163398693,24.07371856402379,8310.5,5.211748206316577e-06,True,0.30718954248366015,medium,0.29352941176470587,0.13790849673202615,112.84360189573457,9836.0,6.381384726887129e-17,True,0.6216216216216216,large,0.0015625,RQ3,True,True
