project,setting,n_files,score_mean,yaml_pass_rate,external_pass_rate,yaml_score_mean,external_score_mean
ballerina-platform_module-ballerina-docker,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
ballerina-platform_module-ballerina-docker,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
ballerina-platform_module-ballerina-docker,Few-Shot,8,0.375,0.375,0.375,0.375,0.375
bancolombia_scaffold-clean-architecture,CIMig,2,0.0,0.0,0.0,0.0,0.0
billthefarmer_currency,CIMig,2,0.0,0.0,0.0,0.0,0.0
billthefarmer_currency,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
billthefarmer_currency,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
billthefarmer_currency,Few-Shot,8,0.5,0.5,0.5,0.5,0.5
billthefarmer_editor,CIMig,2,0.0,0.0,0.0,0.0,0.0
billthefarmer_editor,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
billthefarmer_editor,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
billthefarmer_editor,Few-Shot,8,0.75,0.75,0.75,0.75,0.75
bootique_bootique-logback,CIMig,2,0.0,0.0,0.0,0.0,0.0
bootique_bootique-logback,Zero-Shot,8,0.6875,0.75,0.625,0.75,0.625
bootique_bootique-logback,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
bootique_bootique-logback,Few-Shot,8,0.625,0.625,0.625,0.625,0.625
bric3_mockito,CIMig,2,0.0,0.0,0.0,0.0,0.0
btraceio_btrace,CIMig,2,0.0,0.0,0.0,0.0,0.0
btraceio_btrace,Zero-Shot,8,0.5,0.625,0.375,0.625,0.375
btraceio_btrace,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
btraceio_btrace,Few-Shot,8,0.25,0.25,0.25,0.25,0.25
cdk_cdk,CIMig,2,0.0,0.0,0.0,0.0,0.0
cdk_cdk,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
cdk_cdk,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
cdk_cdk,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
checkout_checkout-sdk-java,CIMig,2,0.0,0.0,0.0,0.0,0.0
constellation-app_constellation,CIMig,2,0.0,0.0,0.0,0.0,0.0
constellation-app_constellation,Zero-Shot,8,0.3125,0.375,0.25,0.375,0.25
constellation-app_constellation,Fine-Tuned,2,1.0,1.0,1.0,1.0,1.0
constellation-app_constellation,Few-Shot,8,0.375,0.5,0.25,0.5,0.25
criteo_cassandra_exporter,CIMig,2,0.0,0.0,0.0,0.0,0.0
cronn_ssh-proxy,CIMig,2,0.0,0.0,0.0,0.0,0.0
cryptomator_dokany-nio-adapter,CIMig,2,0.0,0.0,0.0,0.0,0.0
cryptomator_dokany-nio-adapter,Zero-Shot,8,0.125,0.125,0.125,0.125,0.125
cryptomator_dokany-nio-adapter,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
cryptomator_dokany-nio-adapter,Few-Shot,8,0.4375,0.5,0.375,0.5,0.375
devaneios-ifsp_turma-de-elite-backend,CIMig,2,0.25,0.5,0.0,0.5,0.0
devaneios-ifsp_turma-de-elite-backend,Zero-Shot,8,0.75,0.75,0.75,0.75,0.75
devaneios-ifsp_turma-de-elite-backend,Fine-Tuned,2,0.75,1.0,0.5,1.0,0.5
devaneios-ifsp_turma-de-elite-backend,Few-Shot,8,0.6875,0.75,0.625,0.75,0.625
dhatim_safesql,CIMig,2,0.0,0.0,0.0,0.0,0.0
dhatim_safesql,Zero-Shot,8,0.5625,0.625,0.5,0.625,0.5
