direction,model,n_pairs,zero_cosine,few_cosine,cosine_improvement_pct,cosine_W,cosine_p,cosine_r,cosine_effect_size,zero_bleu,few_bleu,bleu_improvement_pct,bleu_W,bleu_p,bleu_r,bleu_effect_size,bonferroni_alpha,rq,cosine_bonferroni_significant,bleu_bonferroni_significant
travis_to_gha,gemma3_12b,153,0.6590196078431373,0.7445098039215686,12.972329663790532,9505.5,2.993405631205467e-16,0.7123287671232876,large,0.44496732026143787,0.5158823529411766,15.937132784958905,9034.5,1.7801242713361836e-12,0.5102040816326531,large,0.003125,RQ1,True,True
travis_to_gha,gpt-4o,153,0.7449019607843137,0.7895424836601307,5.992805124155479,8433.5,8.396034858996788e-13,0.5602836879432624,large,0.5373202614379086,0.5869281045751634,9.232453472813518,8246.0,2.105792217576388e-10,0.4965034965034965,medium,0.003125,RQ1,True,True
travis_to_gha,llama3_1_8b,153,0.585359477124183,0.6018954248366013,2.8249218401071885,6201.0,0.12245295181525395,0.03355704697986577,negligible,0.2926797385620915,0.41660130718954247,42.34033050468959,10553.0,2.4546722792364178e-21,0.7583892617449665,large,0.003125,RQ1,False,True
travis_to_gha,mistral_7b,153,0.6355555555555555,0.7090196078431372,11.559029206088027,8917.5,8.627312941865218e-12,0.42857142857142855,medium,0.3264052287581699,0.4515032679738562,38.32599118942732,9823.5,1.1318036825449128e-17,0.6598639455782312,large,0.003125,RQ1,True,True
gha_to_travis,gemma3_12b,153,0.3647712418300654,0.48581699346405227,33.18401720121841,9270.0,1.188782201067667e-14,0.6027397260273972,large,0.25673202614379087,0.3611764705882353,40.682281059063136,9426.0,1.066833981681756e-15,0.589041095890411,large,0.003125,RQ1,True,True
gha_to_travis,gpt-4o,153,0.5394771241830065,0.5997385620915032,11.1703416525321,7398.5,3.4221371184634626e-10,0.5259259259259259,large,0.3918300653594771,0.4628104575163398,18.115095913261037,7794.5,9.139295020801823e-11,0.5217391304347826,large,0.003125,RQ1,True,True
gha_to_travis,llama3_1_8b,153,0.2675163398692811,0.2558169934640523,-4.373320302956279,5460.0,0.6480153866952385,-0.013333333333333334,negligible,0.15633986928104576,0.1884967320261438,20.5685618729097,7634.0,1.0917930154788212e-05,0.3333333333333333,medium,0.003125,RQ1,False,True
gha_to_travis,mistral_7b,153,0.30686274509803924,0.42241830065359476,37.65708200212991,9277.5,1.3419560025389513e-12,0.47651006711409394,medium,0.16483660130718952,0.29352941176470587,78.0729579698652,10085.0,1.2902624968690377e-19,0.7142857142857143,large,0.003125,RQ1,True,True
